"Osoba - ID","Osoba - Imię i nazwisko / Nazwa","Osoba - Etykieta","Osoba - Telefon - Praca","Osoba - Telefon - Dom","Osoba - Telefon - Komórkowy","Osoba - Telefon - Inny","Osoba - E-mail - Praca","Osoba - E-mail - Dom","Osoba - E-mail - Inny","Osoba - Data utworzenia osoby kontaktowej","Osoba - Czas aktualizacji","Osoba - Organizacja","Osoba - ID organizacji","Osoba - Właściciel","Osoba - Otwarte szanse sprzedaży","Osoba - Widoczne dla","Osoba - Data następnego działania","Osoba - Data ostatniego działania","Osoba - Wygrane szanse sprzedaży","Osoba - Utracone szanse sprzedaży","Osoba - Zamknięte szanse sprzedaży","Osoba - Ogółem działań","Osoba - Działania wykonane","Osoba - Działania do zrobienia","Osoba - Licznik wiadomości e-mail","Osoba - Zdjęcie profilowe","Osoba - Ostatnia otrzymana wiadomość e-mail","Osoba - Ostatnia wysłana wiadomość e-mail","Osoba - Imię","Osoba - Nazwisko","Osoba - Etykiety","Osoba - Lejek sprzedaży","Działanie - ID","Działanie - Temat","Działanie - Rodzaj","Działanie - Gotowe","Działanie - Czas oznaczenia jako wykonane","Działanie - Organizacja","Działanie - ID organizacji","Działanie - Osoba kontaktowa","Działanie - ID osoby kontaktowej","Działanie - Szansa sprzedaży","Działanie - ID szansy sprzedaży","Działanie - Termin wykonania","Działanie - Godzina wykonania","Działanie - Czas trwania","Działanie - Notatka","Działanie - Godzina dodania","Działanie - Przypisane do użytkownika","Działanie - Twórca","Działanie - Czas aktualizacji","Działanie - Czas ostatniego powiadomienia","Działanie - Lokalizacja","Działanie - Szerokość geograficzna – Lokalizacja","Działanie - Długość geograficzna – Lokalizacja","Działanie - Nr mieszkania/lokalu – Lokalizacja","Działanie - Numer domu – Lokalizacja","Działanie - Nazwa ulicy – Lokalizacja","Działanie - Dystrykt/dzielnica – Lokalizacja","Działanie - Miasto/miejscowość/wioska/lokalizacja – Lokalizacja","Działanie - Województwo/gmina – Lokalizacja","Działanie - Region – Lokalizacja","Działanie - Kraj – Lokalizacja","Działanie - Kod pocztowy – Lokalizacja","Działanie - Pełen/złożony adres – Lokalizacja","Działanie - Wolny/zajęty","Działanie - Opis publiczny","Działanie - Potencjalny klient","Działanie - ID potencjalnego klienta","Działanie - Projekt","Działanie - ID projektu","Działanie - Priorytet","Działanie - Identyfikator wideorozmowy","Działanie - Klient wideorozmowy","Działanie - URL wideorozmowy"
"4","[Przykład] Benjamin Leon","","","","","785-202-7824","benjamin.leon@gmial.com","","","2025-03-11 08:28:33","2025-03-11 08:48:30","","","Onesta","0","Wszyscy użytkownicy","2025-03-10","2025-03-07","0","0","0","6","4","2","0","","","","[Przykład] Benjamin","Leon","","","6","[Przykład] Pierwszy kontakt","Rozmowa telefoniczna","Wykonane","2025-03-01 10:28:35","","","[Przykład] Benjamin Leon","4","","","2025-03-01","","","","2025-03-11 08:28:37","Onesta","Onesta","2025-03-11 08:28:37","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"4","[Przykład] Benjamin Leon","","","","","785-202-7824","benjamin.leon@gmial.com","","","2025-03-11 08:28:33","2025-03-11 08:48:30","","","Onesta","0","Wszyscy użytkownicy","2025-03-10","2025-03-07","0","0","0","6","4","2","0","","","","[Przykład] Benjamin","Leon","","","5","[Przykład] Pierwsza wizyta na terenie nieruchomości","Spotkanie","Wykonane","2025-03-03 10:28:35","","","[Przykład] Benjamin Leon","4","","","2025-03-03","","","","2025-03-11 08:28:36","Onesta","Onesta","2025-03-11 08:28:36","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"4","[Przykład] Benjamin Leon","","","","","785-202-7824","benjamin.leon@gmial.com","","","2025-03-11 08:28:33","2025-03-11 08:48:30","","","Onesta","0","Wszyscy użytkownicy","2025-03-10","2025-03-07","0","0","0","6","4","2","0","","","","[Przykład] Benjamin","Leon","","","2","[Przykład] Druga próba","Wyślij e-maila","Wykonane","2025-03-06 10:28:35","","","[Przykład] Benjamin Leon","4","","","2025-03-06","","","","2025-03-11 08:28:36","Onesta","Onesta","2025-03-11 08:28:36","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"4","[Przykład] Benjamin Leon","","","","","785-202-7824","benjamin.leon@gmial.com","","","2025-03-11 08:28:33","2025-03-11 08:48:30","","","Onesta","0","Wszyscy użytkownicy","2025-03-10","2025-03-07","0","0","0","6","4","2","0","","","","[Przykład] Benjamin","Leon","","","3","[Przykład] Pierwszy kontakt","Rozmowa telefoniczna","Wykonane","2025-03-07 10:28:35","","","[Przykład] Benjamin Leon","4","","","2025-03-07","","","","2025-03-11 08:28:36","Onesta","Onesta","2025-03-11 08:28:36","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"5","[Przykład] Phyllis Yang","","","","","240-707-3884","phyllis.yang@gmial.com","","","2025-03-11 08:28:33","2025-03-11 08:48:42","","","Onesta","0","Wszyscy użytkownicy","2025-03-14","2025-03-03","0","0","0","3","2","1","0","","","","[Przykład] Phyllis","Yang","","","12","[Przykład] Pierwsza wizyta i inspekcja nieruchomości","Spotkanie","Wykonane","2025-02-25 10:28:35","","","[Przykład] Phyllis Yang","5","","","2025-02-25","","","","2025-03-11 08:28:38","Onesta","Onesta","2025-03-11 08:28:38","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"5","[Przykład] Phyllis Yang","","","","","240-707-3884","phyllis.yang@gmial.com","","","2025-03-11 08:28:33","2025-03-11 08:48:42","","","Onesta","0","Wszyscy użytkownicy","2025-03-14","2025-03-03","0","0","0","3","2","1","0","","","","[Przykład] Phyllis","Yang","","","11","[Przykład] Zakończenie wyceny","Wyślij e-maila","Wykonane","2025-03-03 10:28:35","","","[Przykład] Phyllis Yang","5","","","2025-03-03","","","","2025-03-11 08:28:38","Onesta","Onesta","2025-03-11 08:28:38","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"6","[Przykład] Gloria Quinn","","","","","862-252-9773","gloria.quinn@emailz.com","","","2025-03-11 08:28:33","2025-03-11 08:28:45","","","Onesta","0","Wszyscy użytkownicy","2025-03-08","2025-02-22","0","1","1","3","2","1","0","","","","[Przykład] Gloria","Quinn","","Marek","39","[Przykład] Pierwszy e-mail dla nawiązania kontaktu","Wyślij e-maila","Wykonane","2025-02-19 10:28:35","","","[Przykład] Gloria Quinn","6","[Przykład] 3883 Chicago Avenue","6","2025-02-19","","","","2025-03-11 08:28:42","Onesta","Onesta","2025-03-11 08:28:42","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"6","[Przykład] Gloria Quinn","","","","","862-252-9773","gloria.quinn@emailz.com","","","2025-03-11 08:28:33","2025-03-11 08:28:45","","","Onesta","0","Wszyscy użytkownicy","2025-03-08","2025-02-22","0","1","1","3","2","1","0","","","","[Przykład] Gloria","Quinn","","Marek","38","[Przykład] Pierwsza rozmowa dla nawiązania kontaktu","Rozmowa telefoniczna","Wykonane","2025-02-22 10:28:35","","","[Przykład] Gloria Quinn","6","[Przykład] 3883 Chicago Avenue","6","2025-02-22","","","","2025-03-11 08:28:42","Onesta","Onesta","2025-03-11 08:28:42","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"7","[Przykład] Darcie Dixon","","","","","313-353-7151","darcie.dixon@ownerate.com","","","2025-03-11 08:28:33","2025-03-11 08:28:43","","","Onesta","0","Wszyscy użytkownicy","2025-03-08","2025-02-28","0","0","0","3","2","1","0","","","","[Przykład] Darcie","Dixon","","","42","[Przykład] Pierwsza próba kontaktu","Rozmowa telefoniczna","Wykonane","2025-02-25 10:28:35","","","[Przykład] Darcie Dixon","7","","","2025-02-25","","","","2025-03-11 08:28:43","Onesta","Onesta","2025-03-11 08:28:43","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"7","[Przykład] Darcie Dixon","","","","","313-353-7151","darcie.dixon@ownerate.com","","","2025-03-11 08:28:33","2025-03-11 08:28:43","","","Onesta","0","Wszyscy użytkownicy","2025-03-08","2025-02-28","0","0","0","3","2","1","0","","","","[Przykład] Darcie","Dixon","","","41","[Przykład] Druga próba kontaktu","Rozmowa telefoniczna","Wykonane","2025-02-28 10:28:35","","","[Przykład] Darcie Dixon","7","","","2025-02-28","","","","2025-03-11 08:28:43","Onesta","Onesta","2025-03-11 08:28:43","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"8","[Przykład] Githa Watson","","","","","260-414-1246","githa.watson@ooutlook.com","","","2025-03-11 08:28:33","2025-03-11 08:48:33","","","Onesta","0","Wszyscy użytkownicy","2025-03-07","2025-03-08","0","0","0","7","5","2","0","","","","[Przykład] Githa","Watson","","","33","[Przykład] Nawiązano pierwszy kontakt","Rozmowa telefoniczna","Wykonane","2025-02-13 10:28:35","","","[Przykład] Githa Watson","8","","","2025-02-23","","","","2025-03-11 08:28:41","Onesta","Onesta","2025-03-11 08:28:41","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"8","[Przykład] Githa Watson","","","","","260-414-1246","githa.watson@ooutlook.com","","","2025-03-11 08:28:33","2025-03-11 08:48:33","","","Onesta","0","Wszyscy użytkownicy","2025-03-07","2025-03-08","0","0","0","7","5","2","0","","","","[Przykład] Githa","Watson","","","36","[Przykład] Pierwszy kontakt i inspekcja nieruchomości","Spotkanie","Wykonane","2025-02-25 10:28:35","","","[Przykład] Githa Watson","8","","","2025-02-25","","","","2025-03-11 08:28:42","Onesta","Onesta","2025-03-11 08:28:42","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"8","[Przykład] Githa Watson","","","","","260-414-1246","githa.watson@ooutlook.com","","","2025-03-11 08:28:33","2025-03-11 08:48:33","","","Onesta","0","Wszyscy użytkownicy","2025-03-07","2025-03-08","0","0","0","7","5","2","0","","","","[Przykład] Githa","Watson","","","31","[Przykład] Pierwsza wycena nieruchomości","Spotkanie","Wykonane","2025-02-25 10:28:35","","","[Przykład] Githa Watson","8","","","2025-03-01","","","","2025-03-11 08:28:41","Onesta","Onesta","2025-03-11 08:28:41","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"8","[Przykład] Githa Watson","","","","","260-414-1246","githa.watson@ooutlook.com","","","2025-03-11 08:28:33","2025-03-11 08:48:33","","","Onesta","0","Wszyscy użytkownicy","2025-03-07","2025-03-08","0","0","0","7","5","2","0","","","","[Przykład] Githa","Watson","","","32","[Przykład] Pierwsza wizyta na terenie nieruchomości","Spotkanie","Wykonane","2025-02-25 10:28:35","","","[Przykład] Githa Watson","8","","","2025-03-01","","","","2025-03-11 08:28:41","Onesta","Onesta","2025-03-11 08:28:41","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"8","[Przykład] Githa Watson","","","","","260-414-1246","githa.watson@ooutlook.com","","","2025-03-11 08:28:33","2025-03-11 08:48:33","","","Onesta","0","Wszyscy użytkownicy","2025-03-07","2025-03-08","0","0","0","7","5","2","0","","","","[Przykład] Githa","Watson","","","35","[Przykład] Umowa wyceny i utworzenia oferty","Wyślij e-maila","Wykonane","2025-03-08 10:28:35","","","[Przykład] Githa Watson","8","","","2025-03-08","","","","2025-03-11 08:28:42","Onesta","Onesta","2025-03-11 08:28:42","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"9","[Przykład] Aruna Hill","","","","","478-575-6488","aruna.hill@mssn.com","","","2025-03-11 08:28:33","2025-03-11 08:48:28","","","Onesta","0","Wszyscy użytkownicy","","2025-03-01","0","0","0","2","2","0","0","","","","[Przykład] Aruna","Hill","","","25","[Przykład] Pierwsza rozmowa dla nawiązania kontaktu","Rozmowa telefoniczna","Wykonane","2025-02-24 10:28:35","","","[Przykład] Aruna Hill","9","","","2025-02-24","","","","2025-03-11 08:28:40","Onesta","Onesta","2025-03-11 08:28:40","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"9","[Przykład] Aruna Hill","","","","","478-575-6488","aruna.hill@mssn.com","","","2025-03-11 08:28:33","2025-03-11 08:48:28","","","Onesta","0","Wszyscy użytkownicy","","2025-03-01","0","0","0","2","2","0","0","","","","[Przykład] Aruna","Hill","","","24","[Przykład] Spotkanie na żywo","Spotkanie","Wykonane","2025-03-01 10:28:35","","","[Przykład] Aruna Hill","9","","","2025-03-01","","","","2025-03-11 08:28:40","Onesta","Onesta","2025-03-11 08:28:40","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"10","[Przykład] Constanzo Santoro","","","","","402-657-2471","constanzo.santoro@lvie.com","","","2025-03-11 08:28:33","2025-03-11 08:48:23","","","Onesta","0","Wszyscy użytkownicy","2025-03-10","2025-03-01","0","0","0","4","3","1","0","","","","[Przykład] Constanzo","Santoro","","","29","[Przykład] Nawiązano pierwszy kontakt","Rozmowa telefoniczna","Wykonane","2025-02-23 10:28:35","","","[Przykład] Constanzo Santoro","10","","","2025-02-23","","","","2025-03-11 08:28:41","Onesta","Onesta","2025-03-11 08:28:41","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"10","[Przykład] Constanzo Santoro","","","","","402-657-2471","constanzo.santoro@lvie.com","","","2025-03-11 08:28:33","2025-03-11 08:48:23","","","Onesta","0","Wszyscy użytkownicy","2025-03-10","2025-03-01","0","0","0","4","3","1","0","","","","[Przykład] Constanzo","Santoro","","","27","[Przykład] Pierwsza wycena nieruchomości","Spotkanie","Wykonane","2025-03-01 10:28:35","","","[Przykład] Constanzo Santoro","10","","","2025-03-01","","","","2025-03-11 08:28:40","Onesta","Onesta","2025-03-11 08:28:40","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"10","[Przykład] Constanzo Santoro","","","","","402-657-2471","constanzo.santoro@lvie.com","","","2025-03-11 08:28:33","2025-03-11 08:48:23","","","Onesta","0","Wszyscy użytkownicy","2025-03-10","2025-03-01","0","0","0","4","3","1","0","","","","[Przykład] Constanzo","Santoro","","","28","[Przykład] Pierwsza wizyta na terenie nieruchomości","Spotkanie","Wykonane","2025-03-01 10:28:35","","","[Przykład] Constanzo Santoro","10","","","2025-03-01","","","","2025-03-11 08:28:40","Onesta","Onesta","2025-03-11 08:28:40","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"11","[Przykład] Haroon Bloggs","","","","","614-266-8435","haroon.bloggs@gmial.com","","","2025-03-11 08:28:33","2025-03-11 08:28:34","","","Onesta","0","Wszyscy użytkownicy","","","0","0","0","0","0","0","0","","","","[Przykład] Haroon","Bloggs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","[Przykład] Hugo Hall","","","","","509-607-6300","hugo.hall@gmial.com","","","2025-03-11 08:28:33","2025-03-11 08:28:34","","","Onesta","0","Wszyscy użytkownicy","","","0","0","0","0","0","0","0","","","","[Przykład] Hugo","Hall","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","[Przykład] Peru Zitan","","","","","110-123-1246","peru.zitan@loreannn.ee","","","2025-03-11 08:28:33","2025-03-11 08:48:07","[Przykład] Lorean","2","Onesta","0","Wszyscy użytkownicy","2025-03-09","2025-03-10","0","0","0","4","3","1","0","","","","[Przykład] Peru","Zitan","","","48","[Przykład] Pierwszy kontakt","Spotkanie","Wykonane","2025-02-25 10:28:35","[Przykład] Lorean","2","[Przykład] Peru Zitan","13","","","2025-02-25","","","","2025-03-11 08:28:44","Onesta","Onesta","2025-03-11 08:28:44","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"13","[Przykład] Peru Zitan","","","","","110-123-1246","peru.zitan@loreannn.ee","","","2025-03-11 08:28:33","2025-03-11 08:48:07","[Przykład] Lorean","2","Onesta","0","Wszyscy użytkownicy","2025-03-09","2025-03-10","0","0","0","4","3","1","0","","","","[Przykład] Peru","Zitan","","","47","[Przykład] Demo","Wyślij e-maila","Wykonane","2025-03-08 10:28:35","[Przykład] Lorean","2","[Przykład] Peru Zitan","13","","","2025-03-08","","","","2025-03-11 08:28:44","Onesta","Onesta","2025-03-11 08:28:44","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"13","[Przykład] Peru Zitan","","","","","110-123-1246","peru.zitan@loreannn.ee","","","2025-03-11 08:28:33","2025-03-11 08:48:07","[Przykład] Lorean","2","Onesta","0","Wszyscy użytkownicy","2025-03-09","2025-03-10","0","0","0","4","3","1","0","","","","[Przykład] Peru","Zitan","","","45","[Przykład] Negocjacje","Spotkanie","Wykonane","2025-03-10 10:28:35","[Przykład] Lorean","2","[Przykład] Peru Zitan","13","","","2025-03-10","","","","2025-03-11 08:28:44","Onesta","Onesta","2025-03-11 08:28:43","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"14","[Przykład] Guido Moreno","","","","","","guido.moreno@yahooo.com","","","2025-03-11 08:28:33","2025-03-11 08:28:45","[Przykład] Estate Storm","3","Onesta","0","Wszyscy użytkownicy","","2025-03-01","0","1","1","2","2","0","0","","","","[Przykład] Guido","Moreno","","Marek","49","[Przykład] Oddzwanianie","Rozmowa telefoniczna","Wykonane","2025-02-27 10:28:35","[Przykład] Estate Storm","3","[Przykład] Guido Moreno","14","[Przykład] 2078 Wilson Avenue","13","2025-02-27","","","","2025-03-11 08:28:44","Onesta","Onesta","2025-03-11 08:28:44","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"14","[Przykład] Guido Moreno","","","","","","guido.moreno@yahooo.com","","","2025-03-11 08:28:33","2025-03-11 08:28:45","[Przykład] Estate Storm","3","Onesta","0","Wszyscy użytkownicy","","2025-03-01","0","1","1","2","2","0","0","","","","[Przykład] Guido","Moreno","","Marek","50","[Przykład] Pierwsze spotkanie","Spotkanie","Wykonane","2025-03-01 10:28:35","[Przykład] Estate Storm","3","[Przykład] Guido Moreno","14","[Przykład] 2078 Wilson Avenue","13","2025-03-01","","","","2025-03-11 08:28:44","Onesta","Onesta","2025-03-11 08:28:44","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"15","[Przykład] Zach Sharma","","","","","509-379-7634","zach.sharma@gmial.com","","","2025-03-11 08:28:33","2025-03-11 08:28:45","[Przykład] Estate Storm","3","Onesta","0","Wszyscy użytkownicy","","2025-02-27","1","0","1","2","2","0","0","","","","[Przykład] Zach","Sharma","","Marek","43","[Przykład] Pierwsze spotkanie","Spotkanie","Wykonane","2025-02-26 10:28:35","[Przykład] Estate Storm","3","[Przykład] Zach Sharma","15","[Przykład] 986 Conifer Drive","12","2025-02-26","","","","2025-03-11 08:28:43","Onesta","Onesta","2025-03-11 08:28:43","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
